steps_mean,steps_median,steps_std,steps_min,steps_max,apples_mean,apples_median,apples_std,apples_min,apples_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max,,
,,,,,,,,,,,,,,,,
13.888,9,19.0856872,1,104,0.332,0,0.582330948,0,4,247.0487118,12,601.336942,2,9181.016834,,
,,,,,,,,,,,,,,,,
15.22133333,10,20.89131426,1,127,0.333333333,0,0.582713957,0,3,248.3488115,12,567.5404163,2,5027.63304,,
,,,,,,,,,,,,,,,,
17.01133333,10,22.88328076,1,109,0.402666667,0,0.631817132,0,4,308.6647223,15,708.3993532,2,9184.576367,,
,,,,,,,,,,,,,,,,
16.468,10,22.0802093,1,123,0.412666667,0,0.655011111,0,5,329.0615937,15,824.7920268,2,14683.99064,,
,,,,,,,,,,,,,,,,
16.58333333,10,21.88525506,1,115,0.396666667,0,0.643419683,0,5,314.6349164,14,812.1602585,2,14640.54682,,
,,,,,,,,,,,,,,,,
15.45133333,10,19.93806155,1,122,0.426666667,0,0.683585319,0,4,355.9941428,14,864.8079146,2,9186.292042,,
,,,,,,,,,,,,,,,,
15.94666667,10,21.41214193,1,118,0.415333333,0,0.650254993,0,4,325.3076053,14,721.9499268,2,9087.188575,,
,,,,,,,,,,,,,,,,
15,10,19.21887961,1,114,0.433333333,0,0.652346193,0,4,333.3716357,14,731.5865544,2,9171.433554,,
,,,,,,,,,,,,,,,,
15.79066667,10,20.7034018,1,117,0.444666667,0,0.701620664,0,5,378.6736703,15,982.5370051,2,14529.29266,,
,,,,,,,,,,,,,,,,
14.90866667,10,19.309557,1,115,0.409333333,0,0.653538743,0,4,324.9041417,13,767.4439618,2,9175.378187,,
,,,,,,,,,,,,,,,,
16.894,10,22.37406454,1,134,0.450666667,0,0.678895836,0,6,363.9462924,15,936.9002891,2,21460.26374,,
,,,,,,,,,,,,,,,,
16.194,10,20.9541809,1,109,0.464,0,0.713234884,0,6,397.5512655,15,1110.132483,2,21391.99738,,
,,,,,,,,,,,,,,,,
17.06866667,11,22.16420428,1,122,0.479333333,0,0.707276152,0,4,399.1550064,16,904.3813898,2,9184.576367,,
,,,,,,,,,,,,,,,,
16.25866667,11,20.14040114,1,123,0.502,0,0.720645081,0,5,420.2477847,16,1013.276343,2,14561.49997,,
,,,,,,,,,,,,,,,,
17.32866667,11,22.38709401,1,139,0.507333333,0,0.746064936,0,6,446.2674995,17,1175.304215,2,21417.199,,
,,,,,,,,,,,,,,,,
17.16733333,11,22.03044862,1,125,0.526666667,0,0.75185696,0,5,461.3177324,18,1141.627084,2,14591.98544,,
,,,,,,,,,,,,,,,,
16.24666667,10.5,20.25261684,1,127,0.492666667,0,0.754064247,0,7,446.6450664,16,1347.51725,2,29366.68499,,
,,,,,,,,,,,,,,,,
17.462,11,22.91175585,1,128,0.505333333,0,0.732555952,0,5,432.6323683,16,991.3727049,2,14569.28974,,
,,,,,,,,,,,,,,,,
17.89133333,11,23.07167509,1,127,0.575333333,0,0.834460837,0,8,567.884638,22,1803.899287,2,38802.95869,,
,,,,,,,,,,,,,,,,
18.98866667,11,23.53817902,1,138,0.566666667,0,0.80346472,0,7,531.8019422,21,1416.564096,2,29389.44384,,
,,,,,,,,,,,,,,,,
17.622,12,20.71422497,1,127,0.580666667,0,0.806324721,0,5,539.9422644,20,1243.089375,2,14584.53559,,
,,,,,,,,,,,,,,,,
19.75,12,24.4339552,1,148,0.578666667,0,0.794865747,0,7,530.1745839,26,1319.86995,2,29601.77459,,
,,,,,,,,,,,,,,,,
19.70266667,12,24.32399898,1,134,0.594666667,0,0.830083262,0,6,573.2406485,25,1363.855346,2,21450.96466,,
,,,,,,,,,,,,,,,,
18.834,12,22.2278154,1,129,0.624,0,0.881640894,0,12,650.2224061,27,2797.92558,2,94731.93908,,
,,,,,,,,,,,,,,,,
20.838,12,25.17114266,1,128,0.650666667,0,0.862921137,0,5,642.0460156,102,1374.174891,2,14627.35745,,
,,,,,,,,,,,,,,,,
21.19,12,25.72361885,1,131,0.648,0,0.892988988,0,6,672.5444212,102,1652.643478,2,21487.15181,,
,,,,,,,,,,,,,,,,
21.492,12,26.51921195,1,145,0.636666667,0,0.87139097,0,5,641.6906307,102,1465.125229,2,14665.02175,,
,,,,,,,,,,,,,,,,
